date,NonMigas
1993 January,2137.6
1993 February,2125
1993 March,2116.3
1993 April,2213.5
1993 May,2229.7
1993 June,2155.3
1993 July,2178.4
1993 August,2299.7
1993 September,2308.8
1993 October,2411.3
1993 November,2464.2
1993 December,2437.3
1994 January,1903.2
1994 February,2093
1994 March,2280.5
1994 April,2410.8
1994 May,2453.3
1994 June,2725.2
1994 July,2692.1
1994 August,2735.7
1994 September,2726.6
1994 October,2817.3
1994 November,2762.3
1994 December,2759.7
1995 January,2367.3
1995 February,2614.4
1995 March,2600.9
1995 April,2533.3
1995 May,2886
1995 June,2975.7
1995 July,2949.8
1995 August,3090.4
1995 September,3125.2
1995 October,3108.7
1995 November,3206.8
1995 December,3495.2
1996 January,2667.9
1996 February,2817.1
1996 March,2977.3
1996 April,3090.4
1996 May,3204.5
1996 June,3298.3
1996 July,3157.9
1996 August,3349.3
1996 September,3383.2
1996 October,3336.9
1996 November,3357.1
1996 December,3452.8
1997 January,3020.2
1997 February,3017.8
1997 March,3113.2
1997 April,3207.3
1997 May,3625.8
1997 June,3527.9
1997 July,3698.2
1997 August,3823.2
1997 September,3790.5
1997 October,3564.4
1997 November,3731.3
1997 December,3701.2
1998 January,3344.5
1998 February,3058
1998 March,3839.6
1998 April,3138.1
1998 May,3271.9
1998 June,3861.9
1998 July,3936.3
1998 August,3482.2
1998 September,3385.6
1998 October,3168
1998 November,3250.6
1998 December,3238.8
1999 January,2373.5
1999 February,2615.9
1999 March,3307.1
1999 April,3238.1
1999 May,3358.2
1999 June,3038.2
1999 July,3367.8
1999 August,3609.7
1999 September,3577.9
1999 October,3579.1
1999 November,3468.5
1999 December,3339.2
2000 January,3249.4
2000 February,3693.4
2000 March,3847.5
2000 April,4024.4
2000 May,3853.4
2000 June,4160.4
2000 July,4233.5
2000 August,4265.2
2000 September,4433.4
2000 October,4164.2
2000 November,3919
2000 December,3913.6
2001 January,3675.3
2001 February,3632.4
2001 March,3877.2
2001 April,3711.4
2001 May,3700.5
2001 June,3758.4
2001 July,3782.2
2001 August,4113.3
2001 September,3382.5
2001 October,3624.4
2001 November,3075.9
2001 December,3351
2002 January,3222.3
2002 February,3384.7
2002 March,3566.9
2002 April,3780.5
2002 May,3735.2
2002 June,4127.6
2002 July,4041.9
2002 August,3911.1
2002 September,4069.5
2002 October,4182.9
2002 November,3340
2002 December,3683.4
2003 January,3799.9
2003 February,3721.3
2003 March,3865.6
2003 April,3931.2
2003 May,3956.2
2003 June,4202
2003 July,4272
2003 August,3769.2
2003 September,3896.3
2003 October,4028.9
2003 November,3898.9
2003 December,4065.4
2004 January,3842.6
2004 February,3766.5
2004 March,3888.3
2004 April,4093.6
2004 May,4231.9
2004 June,4578.8
2004 July,4713.5
2004 August,5065.6
2004 September,5766.3
2004 October,5978.3
2004 November,4727.8
2004 December,5286.1
2005 January,4907.7
2005 February,5039.6
2005 March,5590
2005 April,5221.6
2005 May,5781.7
2005 June,5377.4
2005 July,5529.2
2005 August,5477
2005 September,5802.1
2005 October,6131.8
2005 November,5271.7
2005 December,6298.6
2006 January,5733.8
2006 February,5760.3
2006 March,5808.4
2006 April,5949.3
2006 May,6580.4
2006 June,6671.2
2006 July,6781.8
2006 August,7058.8
2006 September,7242.8
2006 October,7119.6
2006 November,7167.7
2006 December,7715.1
2007 January,6801.3
2007 February,6726.1
2007 March,7490.2
2007 April,7376.5
2007 May,8015.8
2007 June,7730.4
2007 July,8213.3
2007 August,7740.3
2007 September,7437.5
2007 October,8319
2007 November,7737
2007 December,8425
2008 January,8947.7
2008 February,8164.4
2008 March,9241.7
2008 April,8440.5
2008 May,9684.8
2008 June,9823.5
2008 July,9645.3
2008 August,9510.5
2008 September,9821.7
2008 October,8904.4
2008 November,8220.2
2008 December,7489.5
2009 January,6254.6
2009 February,6109.9
2009 March,7333.1
2009 April,7200
2009 May,8072.1
2009 June,7929.4
2009 July,8195.2
2009 August,8890.1
2009 September,8092.9
2009 October,10131.2
2009 November,8438
2009 December,10845.2
2010 January,9251
2010 February,8991.2
2010 March,10605.8
2010 April,9830.6
2010 May,10249.9
2010 June,10428.6
2010 July,10605.5
2010 August,11733
2010 September,10098.7
2010 October,11557.8
2010 November,12816.9
2010 December,13570.6
2011 January,11991.2
2011 February,11802.8
2011 March,13304.1
2011 April,12925.9
2011 May,14214.6
2011 June,14795.9
2011 July,13616
2011 August,14556.2
2011 September,13612.4
2011 October,13895.1
2011 November,13712.7
2011 December,13592.7
2012 January,12425.4
2012 February,12340
2012 March,13765.4
2012 April,12612.5
2012 May,13104.7
2012 June,12541.8
2012 July,13165.4
2012 August,11264
2012 September,13127.6
2012 October,12669.4
2012 November,13599.9
2012 December,12427
2013 January,12721.8
2013 February,12448.1
2013 March,12096.3
2013 April,12308.8
2013 May,13207.1
2013 June,11958.5
2013 July,12805.3
2013 August,10363.2
2013 September,12292.1
2013 October,12983.1
2013 November,13171.7
2013 December,13562.7
2014 January,11970.6
2014 February,11904.9
2014 March,12551.3
2014 April,11641.1
2014 May,12447.9
2014 June,12623.5
2014 July,11627.8
2014 August,11883.5
2014 September,12653.2
2014 October,12879.6
2014 November,11509.3
2014 December,12268.4
2015 January,11285.9
2015 February,10419.4
2015 March,11645.2
2015 April,11646.4
2015 May,11361.9
2015 June,12074.2
2015 July,10043.9
2015 August,11195.2
2015 September,11134.8
2015 October,10742.2
2015 November,9625.1
2015 December,10617.6
2016 January,9473.9
2016 February,10203.4
2016 March,10572.8
2016 April,10798
2016 May,10559.5
2016 June,12018.8
2016 July,8650.9
2016 August,11563.1
2016 September,11518.3
2016 October,11687.9
2016 November,12399.9
2016 December,12582.2
2017 January,12119.1
2017 February,11407.3
2017 March,13202.2
2017 April,12233.5
2017 May,13039.5
2017 June,10385.1
2017 July,12446.1
2017 August,13954.4
2017 September,13125.2
2017 October,13764.4
2017 November,14039
2017 December,13368.1
2018 January,13233.6
2018 February,12743.6
2018 March,14254.5
2018 April,13317.4
2018 May,14565.2
2018 June,11295
2018 July,14868.2
2018 August,14441.4
2018 September,13636.1
2018 October,14363.8
2018 November,13538.8
2018 December,12583.3
2019 January,12896.8
2019 February,11737.8
2019 March,13370.4
2019 April,12380
2019 May,13697.6
2019 June,11049.2
2019 July,13837.9
2019 August,13419.1
2019 September,13277.1
2019 October,14021.5
2019 November,12910.8
2019 December,13295.5
2020 January,12821.1
2020 February,13236.9
2020 March,13413.9
2020 April,11597.7
2020 May,9891.7
2020 June,11439.4
2020 July,13029.5
2020 August,12455.7
2020 September,13288.9
2020 October,13748.9
2020 November,14496.2
2020 December,15520.8
2021 January,14416.4
2021 February,14394.8
2021 March,17446.9
2021 April,17532.4
2021 May,15967.4
2021 June,17308.5
2021 July,18390.8
2021 August,20398.6
2021 September,19684
2021 October,21026.7
2021 November,21505.9
2021 December,21289.7
2022 January,18239.7
2022 February,19459.5
2022 March,25093.4
2022 April,25849.7
2022 May,19995.2
2022 June,24589.3
2022 July,24185.8
2022 August,26265.8
2022 September,23505.6
2022 October,23440
2022 November,22957.2
2022 December,22324.9
2023 January,20835.9
2023 February,20134.8
2023 March,22077.8
2023 April,18025.4
2023 May,20398.2
2023 June,19341.6
2023 July,19635.4
2023 August,20679.2
2023 September,19341.4
2023 October,20776.3
2023 November,20715.3
2023 December,20913.2
